TAZ,longitude_center,latitude_center,TAZ12_TEXT,ACRES,DU16,DU45,POP16,POP45,GQPOP16,GQPOP45,RPOP16,RPOP45,SFD16,SFD45,MFD16,MFD45,TOCDU16,TOCDU45,OCSDU16,OCSDU45,OCMDU16,OCMDU45,SEN16,SEN45,UEN16,UEN45,REM16,REM45,EMP2016,RE2016,SE2016,OTH2016,PSCH2016,EMP2045,RE2045,SE2045,OTH2045,PSCH2045,Total Daily Trips Through TAZ 2016,Total Daily Trips Through TAZ 2045,Trip Difference,TAZ Origin,Max_Time Difference Peak,Min_Time Difference Peak,Sum_Time Difference Peak,Max_Time Difference Uncongested,Min_Time Difference Uncongested,Sum_Time Difference Uncongested,Max_Difference - Driving Distance,Min_Difference - Driving Distance,Sum_Difference - Driving Distance,Max_Trip Difference,Min_Trip Difference,Sum_Trip Difference
474,-117.88498803,33.79269559,0474,223.884359,2219,4123,4225,8794,0,0,4225,8794,0,0,2219,4123,1829,3762,0,0,1829,3762,0,0,0,0,2560,5499,8523,111,1358,7054,0,10145,1082,1985,7078,0,33108.7,56411.4,23302.7,474,8.47911,-10.579952,-866.819129999998,2.994907,-6.420369,-116.498774999998,3.389125,-6.016136,-6.82215299999998,4878.97152,-6.794257,11981.917188
1135,-117.83782172,33.70610983,1135,136.069306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5245,400,1500,3345,0,0,22386.1,22386.1,1135,3.927903,-13.159405,-4992.79711000001,3.022179,-6.393093,-125.45882,2.210222,-6.016134,-58.302766,479.68876,0,11464.473824
1223,-117.72021719,33.66566167,1223,919.55552,0,3068,0,7456,0,0,0,7456,0,211,0,2857,0,3039,0,205,0,2834,0,0,0,0,0,4816,0,0,0,0,0,43,0,0,43,0,0,22372.9,22372.9,1223,10.079683,-14.712252,1321.625069,3.022179,-8.934179,-189.930253000001,3.36574,-6.020387,-652.062958000001,569.447382,0,11344.63918
1202,-117.74792352,33.67922974,1202,141.048264,8,259,19,596,0,0,19,596,0,89,8,170,8,246,0,84,8,162,0,0,0,0,0,0,0,0,0,0,0,2674,0,2674,0,0,35.7,22282.6,22246.9,1202,6.872308,-18.585976,-1708.929625,2.498026,-9.900888,-1045.04091199999,3.864381,-6.584306,-479.060273000005,1830.618987,0,11540.260337
1192,-117.72656378,33.67754347,1192,693.916454,0,1007,0,2543,0,0,0,2543,0,243,0,764,0,987,0,236,0,751,0,0,0,0,0,1647,25,0,6,19,0,2112,0,1272,840,0,86.8,19050,18963.2,1192,7.469007,-15.978349,174.937711,3.022179,-9.90089,-473.759441000001,2.210214,-6.584306,-235.503051000002,1011.712913,0,9905.249988
1255,-117.75321348,33.65704241,1255,67.920077,766,1238,1810,2890,0,0,1810,2890,0,0,766,1238,651,1186,0,0,651,1186,0,0,0,0,781,1276,1678,24,1203,451,0,3650,24,3175,451,0,14941.9,31551.1,16609.2,1255,6.896684,-19.185551,-2522.863314,2.99312,-8.163842,-175.190438999999,2.210219,-6.184541,-86.076975,991.047694,-0.087043,8848.20034
1219,-117.85205103,33.6701322,1219,226.86746,3251,4675,5117,6977,0,0,5117,6977,0,0,3251,4675,2905,4343,0,0,2905,4343,0,0,0,0,3113,4306,8560,51,2378,6131,0,11433,137,3829,7467,0,44838.9,61331.7,16492.8,1219,2.012094,-14.4692,-6350.20461600001,3.022179,-6.393093,-136.156502,2.210219,-6.016133,-66.267867,1731.355468,-3.170153,9169.969166
1178,-117.73768197,33.68335243,1178,806.428286,374,3742,1209,8696,0,0,1209,8696,273,411,101,3331,353,3550,257,386,96,3164,0,0,0,0,0,0,61,0,6,55,0,925,116,6,803,0,2354.1,18560.4,16206.3,1178,6.865122,-18.593166,-2035.941982,2.513754,-10.136431,-1187.70470200001,3.215135,-6.779622,-627.222359999995,1834.700042,0,8262.86391000001
1181,-117.70184587,33.68911225,1181,565.849649,21,2003,53,5616,0,0,53,5616,3,1398,18,605,20,1975,3,1384,17,591,0,0,0,0,5,3687,1,0,0,1,0,58,0,0,8,50,116.9,16232.3,16115.4,1181,7.42025,-15.984741,-161.812882999998,3.02218,-9.900889,-674.853641999997,2.210215,-6.584305,-354.202224000004,1020.039167,0,8122.55522800001
1320,-117.6671785,33.6681372,1320,161.277243,6,6,15,15,0,0,15,15,0,0,6,6,6,6,0,0,6,6,0,0,0,0,9,9,384,11,204,169,0,3964,159,1540,2265,0,2245.7,18224.2,15978.5,1320,10.491895,-11.963825,2047.422956,2.503467,-9.84963,-183.412715,2.210217,-8.804636,-127.30741,490.904355,0,8295.79949200001
1265,-117.74331971,33.65035987,1265,195.024249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5576,1203,3679,694,0,7866,1463,5709,694,0,49018.7,64685.7,15667,1265,6.989265,-17.779503,-2058.726738,3.022174,-8.163843,-182.823852000002,2.210216,-6.184538,-81.215874,864.125067,-58.132819,8301.072428
405,-117.91084979,33.79971768,0405,159.285589,854,854,3676,3727,0,0,3676,3727,0,0,854,854,812,821,0,0,812,821,0,0,0,0,1753,1797,376,0,261,115,0,2648,210,2113,325,0,8722.1,24253.7,15531.6,405,9.353429,-10.551243,-547.229588000005,2.968547,-6.446727,-290.772499,2.538306,-7.405086,-745.586528000002,689.423431,-1.304167,8133.36084800001
1136,-117.83118038,33.70314173,1136,142.853965,533,1181,1268,2820,0,0,1268,2820,0,0,533,1181,480,1164,0,0,480,1164,0,0,0,0,448,1006,53,0,19,34,0,1553,600,319,634,0,2915.3,17170.6,14255.3,1136,3.987524,-13.401383,-5462.737801,3.02218,-6.393097,-124.99575,2.635244,-6.016132,-58.315976,462.223438,0,7306.145795
399,-117.90966133,33.80493192,0399,98.19302,1,1,12,12,10,10,2,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,5,5,1725,128,1557,40,0,3712,243,3429,40,0,13473.6,27112.9,13639.3,399,9.462325,-10.442349,-248.719069999998,2.968548,-6.446728,-231.610604000001,3.389127,-7.256139,-43.957027,645.972425,-0.000002,7073.76372499999
1269,-117.76418781,33.6479422,1269,103.584126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,150,1000,1950,0,0,13437.3,13437.3,1269,7.045459,-18.940918,-2239.099234,3.022179,-8.163844,-171.383875999998,2.210217,-6.184536,-83.318325,386.059631,0,6897.68632300001
1216,-117.85900984,33.67399522,1216,119.189472,532,1686,889,2387,0,0,889,2387,0,0,532,1686,358,1530,0,0,358,1530,31,31,0,0,540,1474,5977,96,2251,3630,0,8107,170,3331,4606,0,28687.6,41869.5,13181.9,1216,2.050694,-14.511829,-6242.95306200001,3.022181,-6.393091,-135.601128,2.210222,-6.016132,-96.2432190000001,886.308858,-0.902863999999999,7075.28463200001
1169,-117.84794654,33.69171466,1169,384.574643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11318,260,3285,7773,0,13013,642,4654,7717,0,45132.4,58264.5,13132.1,1169,2.814883,-12.713654,-5560.13954199999,3.022182,-6.393093,-113.865857,3.229161,-6.016133,-36.440183,587.529664,-7.596312,6845.20392999999
1218,-117.75883619,33.67398662,1218,63.545872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,9,179,0,0,2126,9,1701,416,0,1704.3,14629.7,12925.4,1218,6.232156,-18.225729,-1906.425366,3.022176,-8.163836,-175.457591,2.21022,-6.18454,-97.0146730000001,222.623669,0,6611.907357
1261,-117.73043448,33.65171504,1261,208.470182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2165,61,798,1306,0,5194,224,1697,3273,0,10140.4,22317.2,12176.8,1261,7.185696,-16.971384,-2658.616511,2.031023,-8.163842,-453.195804000001,3.506235,-6.852144,-231.157255000001,287.603208,0,6303.070231
1132,-117.83219865,33.71233534,1132,125.388746,0,0,133,134,133,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,74,300,0,107,193,0,2834,0,1374,1460,0,1242.2,13252.1,12009.9,1132,3.4424,-13.274376,-4951.045519,3.022179,-6.393093,-155.840893,2.210222,-6.016133,-141.461568,208.155278,0,6115.21280000001
866,-117.74109945,33.72939553,0866,982.401553,384,1844,1181,5434,0,0,1181,5434,216,1159,168,685,362,1803,211,1135,151,668,2240,2122,0,0,778,3626,187,0,9,85,93,217,5,22,97,93,4646.2,16603.4,11957.2,866,5.611963,-17.312994,-2029.981367,3.252294,-7.015799,-269.826432999997,3.935003,-6.98734,-250.558919,270.168271,-9.59999999999989e-05,6092.95653499999
220,-117.9967141,33.86230187,0220,222.240573,886,2664,3258,8870,9,9,3249,8861,343,343,543,2321,855,2619,324,327,531,2292,352,348,0,0,1419,3945,1822,176,443,1203,0,2660,329,809,1522,0,11155.1,22913.8,11758.7,220,14.381527,-6.75874400000001,5483.199021,3.022168,-6.393101,-55.6582629999999,1.776963,-6.016121,-11.238688,1261.450169,-0.000014,6503.911709
869,-117.75043217,33.71558747,0869,415.250864,1094,2732,2450,6564,0,0,2450,6564,427,1177,667,1555,1044,2679,413,1165,631,1514,0,0,0,0,1346,3745,262,5,54,203,0,322,11,71,240,0,7742.5,19370.1,11627.6,869,6.302784,-17.860672,-930.773398,3.022179,-8.918667,-336.497855,2.21022,-6.522968,-240.149675,396.319061,0,5906.87243900001
1055,-117.91354662,33.69183334,1055,225.514691,144,144,381,386,0,0,381,386,61,61,83,83,137,139,61,61,76,78,0,0,0,0,170,176,635,14,177,444,0,3077,157,1156,1764,0,3347.1,14903.1,11556,1055,5.698705,-14.710872,-4652.728099,3.022179,-6.393093,-92.9663259999999,2.21022,-6.566681,-52.175486,379.179642,-8.29000000000001e-04,5907.57794400001
1172,-117.83409016,33.69214941,1172,234.906395,435,1315,792,1837,0,0,792,1837,0,0,435,1315,355,1099,0,0,355,1099,0,0,0,0,469,1101,5821,227,1059,4535,0,6992,249,2156,4587,0,21928.1,33053.4,11125.3,1172,3.725284,-13.054752,-5129.516325,3.022181,-6.393091,-111.827046,2.210223,-6.016132,-48.913947,447.188435,-0.041289,5808.114276
715,-117.86971311,33.75757435,0715,130.018003,1712,1795,7710,8150,45,45,7665,8105,96,96,1616,1699,1643,1746,95,95,1548,1651,906,874,0,0,3262,3266,1754,116,553,1043,42,3704,351,1933,1378,42,19104.9,30183.5,11078.6,715,6.353267,-12.35437,-2685.037286,3.041504,-6.373772,-63.7424430000003,5.084517,-6.015038,1.15207700000001,1384.595799,-9.288868,6248.16114700001
1276,-117.74834492,33.64224802,1276,312.372589,1618,3467,3854,8156,0,0,3854,8156,0,0,1618,3467,1578,3434,0,0,1578,3434,0,0,0,0,2055,4404,310,3,127,180,0,314,5,127,182,0,11144.2,21339,10194.8,1276,8.456319,-15.753086,-301.381233,2.969614,-8.350134,-385.482507000007,2.210213,-6.184536,-98.3157610000001,440.402276,-0.00077,5210.79589
1221,-117.77196078,33.67010973,1221,192.465164,1120,1120,2243,2274,0,0,2243,2274,272,272,848,848,1063,1075,263,263,800,812,0,0,0,0,1342,1378,3779,0,274,3505,0,5106,0,1601,3505,0,14460.4,24630.4,10170,1221,5.41136,-19.411602,-3393.904169,3.022177,-8.934843,-230.256366,2.210218,-6.364988,-105.557914,641.443327,-3.16895799999999,5443.073774
1217,-117.84153126,33.67297339,1217,122.83322,232,1764,301,2209,0,0,301,2209,0,0,232,1764,177,1651,0,0,177,1651,0,0,0,0,183,1392,15385,145,8232,7008,0,17424,222,9302,7900,0,84472.9,94421.7,9948.8,1217,0.181291999999999,-14.700172,-6261.371537,3.022179,-6.393093,-132.334126,2.210216,-6.016135,-55.414972,2186.770814,-103.888778,6092.839116
326,-117.91061447,33.83425686,0326,230.601952,2291,3017,6627,8729,36,36,6591,8693,254,255,2037,2762,2002,2721,224,230,1778,2491,26,26,0,0,3246,4348,5392,118,2436,2838,0,6537,332,3309,2896,0,34148,43972,9824,326,11.108738,-9.984016,1599.052381,3.022167,-6.393104,-72.1211299999999,3.389126,-6.016133,-13.81766,1867.145105,-1.922124,5828.39395799999
1608,-117.59617307,33.50888079,1608,748.937637,0,838,0,2753,0,0,0,2753,0,838,0,0,0,838,0,838,0,0,0,0,0,0,0,1815,18,0,0,18,0,287,27,215,45,0,30.4,9812.1,9781.7,1608,20.232868,-8.820287,17905.581703,6.159397,-6.845352,-316.037163999994,4.888283,-4.538595,-58.2126110000001,676.615824,0,5217.934119
1253,-117.74724764,33.65761385,1253,49.884304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,141,604,0,0,2140,141,1885,114,0,7091.5,16854.8,9763.3,1253,6.969577,-18.283407,-2467.540129,3.022174,-8.163842,-184.648704000002,2.210218,-6.184539,-85.990056,501.227192,0,4991.833751
394,-117.8940023,33.80559987,0394,95.560052,1202,2572,1958,3727,0,0,1958,3727,0,0,1202,2572,1182,2562,0,0,1182,2562,0,0,0,0,1136,2202,661,30,73,558,0,2257,90,487,1680,0,7244.2,16930.8,9686.6,394,8.477555,-10.317909,-745.123346000003,2.965393,-6.449882,-208.543024999997,2.482349,-6.871674,-80.70421,568.316004,0,5055.199824
96,-117.88512737,33.88158059,0096,338.303671,1062,1161,3667,4072,1493,1531,2174,2541,0,0,1062,1161,984,1093,0,0,984,1093,0,0,40653,43740,1508,1696,5956,126,5213,617,0,7867,168,6627,1072,0,74273.3,83906.5,9633.2,96,11.003194,-8.625324,2953.969244,3.022171,-6.393101,-67.5482250000001,4.242759,-6.016125,-3.36834300000001,750.966814,-15.720317,5139.316845
1177,-117.7622375,33.69017154,1177,214.09499,2015,2878,5124,7428,0,0,5124,7428,186,559,1829,2319,1940,2815,171,553,1769,2262,999,1883,0,0,0,3769,274,11,17,207,39,321,11,17,254,39,9593.1,19205,9611.9,1177,6.528176,-19.401173,-757.778307,3.022177,-9.605251,-228.244615000001,2.21022,-6.679493,-177.359932,195.98966,-0.00012,4863.07551300001
743,-117.83754326,33.74523541,0743,124.322638,283,1762,779,2453,125,125,654,2328,0,0,283,1762,280,1741,0,0,280,1741,305,301,0,0,423,1389,3882,51,1750,2081,0,4673,82,2475,2116,0,19820.8,29389.6,9568.8,743,5.683758,-12.214314,-2340.252709,3.02218,-6.393095,-98.800647,2.210226,-6.016134,-51.185331,476.328639,-6.40000000000003e-05,5026.715069
1479,-117.68452647,33.56818512,1479,1088.598791,1617,2689,4758,6985,20,20,4738,6965,1245,1245,372,1444,1574,2649,1218,1224,356,1425,0,0,0,0,2320,3460,1197,45,493,659,0,1692,162,653,877,0,19421.9,28248.5,8826.6,1479,15.552408,-8.07623,10281.925735,2.921746,-7.197125,-124.306291,4.167654,-5.620619,-22.42124,623.521619,-0.35931,4707.032548
1190,-117.76818214,33.68501931,1190,107.971561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,0,1013,266,0,0,8432.2,8432.2,1190,5.720982,-19.579502,-1639.708473,3.022177,-8.887131,-183.388778,2.210222,-6.364989,-98.0522370000001,280.670369,0,4295.098337
1618,-117.54382826,33.46496395,1618,2662.972403,0,798,0,1883,0,0,0,1883,0,0,0,798,0,731,0,0,0,731,0,400,0,0,0,1241,0,0,0,0,0,424,61,254,49,60,0,8172,8172,1618,16.526974,-14.509526,11908.820179,5.487913,-9.646032,-231.453127,3.879158,-5.620613,-68.034626,1259.810902,0,4705.26389
578,-117.96299865,33.78491767,0578,160.996744,721,731,2335,2390,34,34,2301,2356,280,280,441,451,704,721,271,274,433,447,552,521,0,0,1013,1052,828,315,390,99,24,1929,600,1181,124,24,11908.9,20062.2,8153.3,578,10.127824,-9.062256,693.956236,2.853115,-6.562156,-291.120656000001,6.651287,-6.015873,48.5748680000003,878.821539,-3.278506,4500.856458
1161,-117.85503942,33.69931061,1161,171.491287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3528,226,694,2608,0,5013,246,1648,3119,0,13508.8,21448,7939.2,1161,3.11031,-12.627468,-5794.75855100001,3.02218,-6.393091,-120.044193,3.367722,-6.01613,-53.237397,144.712408,-0.03494,4070.268269
1167,-117.82078868,33.69606737,1167,131.204469,192,192,193,195,0,0,193,195,0,0,192,192,179,182,0,0,179,182,0,0,0,0,114,116,1099,5,534,560,0,2122,5,1543,574,0,6251.8,14048.9,7797.1,1167,4.391725,-13.156635,-4975.19064399999,3.022183,-6.393093,-115.704143,3.040775,-6.016133,-47.3409430000001,217.853615,-3.14099999999999e-02,3986.686319
593,-117.94537993,33.77779977,0593,160.261047,1166,1287,2742,3007,8,8,2734,2999,163,171,1003,1116,1122,1253,160,169,962,1084,255,253,0,0,1428,1590,1159,238,529,392,0,2074,544,1124,406,0,13949,21547.4,7598.4,593,8.874639,-9.995552,-163.091808,2.853115,-6.562157,-267.461870999998,7.234982,-8.38701,-51.2949419999995,761.189015,-2.027038,4156.30723999999
1249,-117.74051351,33.65838084,1249,154.098339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2853,637,983,1233,0,3606,1245,1092,1269,0,19620.6,27129.7,7509.1,1249,7.17633,-16.980753,-2263.78805099999,3.022177,-8.163843,-185.496906000002,2.210219,-6.184538,-78.5446580000001,398.233906,-9.145084,3888.678883
23,-117.93332136,33.92249575,0023,214.959899,1,1,2,2,0,0,2,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,2968,356,2052,560,0,6020,620,2695,2705,0,18029.1,25493.6,7464.5,23,13.553761,-7.544739,5344.264031,2.670838,-6.744427,-586.865002000001,5.242064,-6.016132,13.450255,625.570599,-0.177935,4086.744533
370,-117.91031844,33.81413115,0370,155.780149,754,1570,3312,7185,44,44,3268,7141,215,217,539,1353,689,1469,201,207,488,1262,919,864,0,0,1359,3026,1262,36,775,403,48,1644,51,1127,418,48,12752.6,20207.3,7454.7,370,9.671835,-10.232837,-20.6711290000006,3.022175,-6.393101,-79.5604399999999,3.389127,-6.016132,-11.657151,354.060969,-1.368435,3896.460338
1188,-117.69726564,33.678026,1188,1360.184222,0,840,0,2432,0,0,0,2432,0,693,0,147,0,806,0,672,0,134,0,0,0,0,0,1706,202,11,80,111,0,255,11,126,118,0,1094.9,8500.3,7405.4,1188,9.954649,-14.83729,504.706454999997,2.181814,-8.934177,-578.779707000001,3.365738,-8.862688,-911.086378000005,185.385628,-0.702924,3738.165641
114,-117.92238555,33.87081744,0114,207.619848,1444,2911,2845,5008,325,336,2520,4672,131,133,1313,2778,1372,2830,128,132,1244,2698,0,0,0,0,1413,2538,2884,127,1813,944,0,3578,265,2067,1246,0,22060.5,29451.1,7390.6,114,11.013211,-7.942245,2467.20170099999,3.022167,-6.393101,-62.385902,2.251064,-6.016125,-4.94261400000001,698.78063,-5.143241,4031.799381
1131,-117.82309095,33.71606886,1131,246.71165,1073,1073,2701,2738,0,0,2701,2738,223,223,850,850,1011,1031,206,215,805,816,42,455,0,0,1457,1496,983,20,337,626,0,1783,295,862,626,0,11729.1,19094,7364.9,1131,3.119793,-13.072174,-4875.73560400001,3.02218,-6.393095,-176.689107,2.21022,-6.016132,-72.7674030000001,708.553469,-70.501526,3753.402949
584,-117.9105187,33.78526284,0584,158.470601,730,1091,3070,3963,23,23,3047,3940,474,474,256,617,715,1070,470,470,245,600,505,472,0,0,1670,2183,612,294,117,181,20,1408,296,900,192,20,11636.5,18739.4,7102.9,584,8.125338,-11.080757,-1070.044987,3.022175,-6.39310099999999,-63.927836,3.700694,-6.016133,-18.818254,453.514625,-0.028709,3795.58669500001
98,-117.92880529,33.87969913,0098,232.038426,747,970,1869,2254,0,0,1869,2254,578,580,169,390,730,951,568,573,162,378,0,0,0,0,921,1129,1366,90,452,824,0,2722,288,984,1450,0,9815.9,16746.6,6930.7,98,11.025116,-7.93034,2354.384361,3.022167,-6.393101,-60.841592,4.40788,-6.016129,-11.853345,588.579569,-0.063968,3765.99856
377,-117.90481418,33.81426547,0377,76.148789,0,750,0,1791,0,0,0,1791,0,0,0,750,0,711,0,0,0,711,60,59,0,0,0,0,894,135,149,610,0,1459,291,552,616,0,3777,10566.1,6789.1,377,9.692385,-10.212292,-35.1970859999989,3.022175,-6.39310099999999,-92.111347,3.389125,-7.50466,-58.2486890000001,347.406154,0,3498.127021
1228,-117.76204033,33.67009977,1228,52.590468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,0,536,552,0,2053,0,1378,675,0,5559.4,12249.7,6690.3,1228,6.24706,-18.378531,-2365.083371,3.022179,-8.163841,-187.041096000003,2.210216,-6.18454,-90.8204500000001,188.363254,0,3419.767349
569,-117.91941152,33.7924731,0569,160.847389,763,763,2506,2541,6,6,2500,2535,350,350,413,413,729,734,340,341,389,393,500,469,0,0,1111,1139,1071,9,975,64,23,2060,15,1950,72,23,12660.6,19292.2,6631.6,569,8.907842,-10.548835,-645.034317999997,2.989547,-6.425728,-150.957569999998,5.15591,-6.016136,-40.379695,392.945273,-8.39986900000001,3533.30651
1201,-117.84550835,33.68045339,1201,115.912658,0,676,0,828,0,0,0,828,0,0,0,676,0,648,0,0,0,648,0,0,0,0,0,511,2691,137,1206,1348,0,3307,176,1790,1341,0,14534.1,21134.8,6600.7,1201,2.953709,-12.62796,-5615.863247,3.022177,-6.393095,-117.259476,2.210221,-6.016133,-38.5112,249.594645,-1.581614,3408.975898
1252,-117.77269848,33.65651448,1252,83.864872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,11,178,101,0,1106,11,994,101,0,1888.7,8443.7,6555,1252,6.938275,-18.623003,-2718.324515,3.022177,-8.163844,-152.183841,2.210219,-6.18454,-65.312781,129.999044,0,3344.042087
856,-117.75964105,33.74485848,0856,582.201593,972,1745,2536,4962,0,0,2536,4962,472,1212,500,533,931,1698,458,1182,473,516,1156,1149,0,0,1419,2865,353,36,134,139,44,362,44,134,140,44,9595,16001.9,6406.9,856,5.792391,-13.751871,-2718.951888,3.022179,-6.797974,-304.697674,3.426175,-6.952381,-261.302727,247.437043,-2.897963,3239.039848
222,-118.02095965,33.86108793,0222,186.254019,184,244,578,724,0,0,578,724,162,162,22,82,183,240,162,162,21,78,1016,950,0,0,274,351,1989,65,797,1081,46,3221,173,1834,1168,46,7557.1,13926.7,6369.6,222,13.616062,-7.04773700000001,4777.738331,3.022164,-6.393101,-55.505198,3.891774,-6.016128,-6.54351399999998,545.524054,-0.02578,3465.257939
701,-117.86302778,33.77555503,0701,128.173653,572,2039,833,2724,0,0,833,2724,7,7,565,2032,464,1806,2,5,462,1801,0,0,61,61,512,1692,5507,73,2674,2760,0,6179,112,2980,3087,0,29125.8,35492.5,6366.7,701,6.556515,-12.018901,-2986.347914,3.022179,-6.393097,-102.682957,2.328679,-6.016133,-16.435179,432.042577,-48.516064,3396.36588900001
